State,Crop,Season,Year,Area,Production,Yield,Average yield
Andhra Pradesh,other oilseeds,Kharif,2014,60992,1307544,178.12,17.27
Andhra Pradesh,other oilseeds,Kharif,2016,138,153,4.91,6.28
Andhra Pradesh,other oilseeds,Kharif,2017,90131,1780969,166.97,17.27
Andhra Pradesh,other oilseeds,Kharif,2018,94090,1965083,182.5,17.27
Andhra Pradesh,other oilseeds,Kharif,2019,97782,2262487,177.41,17.27
Andhra Pradesh,other oilseeds,Rabi,2002,10921,13551,18.37,23.55
Andhra Pradesh,other oilseeds,Rabi,2011,6967,4422,23.43,6.28
Arunachal Pradesh,Arhar/Tur,Kharif,2016,790,643,10.66,12.32
Arunachal Pradesh,Arhar/Tur,Kharif,2017,806,665,10.88,12.32
Arunachal Pradesh,Arhar/Tur,Kharif,2018,816,705,13.55,14.08
Arunachal Pradesh,Arhar/Tur,Kharif,2019,819,712,15.7,15.84
Arunachal Pradesh,Dry chillies,Whole Year,1998,1236,1582,21.09,18.96
Arunachal Pradesh,Dry chillies,Whole Year,1999,1499,1696,15.15,18.96
Arunachal Pradesh,Dry chillies,Whole Year,2000,1317,2097,21.79,18.96
Arunachal Pradesh,Dry chillies,Whole Year,2001,1629,2128,17.76,18.96
Arunachal Pradesh,Dry chillies,Whole Year,2002,1608,2345,23.32,23.7
Arunachal Pradesh,Dry chillies,Whole Year,2003,1657,2430,23.1,23.7
Arunachal Pradesh,Dry chillies,Whole Year,2004,2012,2640,28.98,25.28
Arunachal Pradesh,Dry chillies,Whole Year,2005,2168,2646,22.3,23.7
Arunachal Pradesh,Dry chillies,Whole Year,2006,1903,2729,25.07,25.28
Arunachal Pradesh,Dry chillies,Whole Year,2007,2372,3634,36.26,25.28
Arunachal Pradesh,Dry chillies,Whole Year,2008,2320,3960,26.24,22.12
Arunachal Pradesh,Dry chillies,Whole Year,2009,2086,3499,28.6,22.12
Arunachal Pradesh,Dry chillies,Whole Year,2010,2221,3648,30.46,25.28
Arunachal Pradesh,Dry chillies,Whole Year,2011,2500,4300,31.97,25.28
Arunachal Pradesh,Dry chillies,Whole Year,2012,2365,4619,37.67,23.7
Arunachal Pradesh,Dry chillies,Whole Year,2013,2491,8106,59.36,25.28
Arunachal Pradesh,Dry chillies,Whole Year,2014,2660,7500,45.24,25.28
Arunachal Pradesh,Dry chillies,Whole Year,2015,2960,8288,53.97,31.6
Arunachal Pradesh,Dry chillies,Whole Year,2016,3541,9915,54.39,31.6
Arunachal Pradesh,Dry chillies,Whole Year,2017,3610,10289,55.85,31.6
Arunachal Pradesh,Dry chillies,Whole Year,2018,3630,10346,61.49,34.76
Arunachal Pradesh,Dry chillies,Whole Year,2019,3645,10498,71.05,39.5
Arunachal Pradesh,Ginger,Whole Year,1998,4385,31091,54.8,75.24
Arunachal Pradesh,Ginger,Whole Year,1999,4399,34890,58.6,75.24
Arunachal Pradesh,Ginger,Whole Year,2000,4774,35295,57.73,68.4
Arunachal Pradesh,Ginger,Whole Year,2001,4613,38021,69.35,75.24
Arunachal Pradesh,Ginger,Whole Year,2002,4448,32332,92.48,95.76
Arunachal Pradesh,Ginger,Whole Year,2003,4680,37177,92.52,102.6
Arunachal Pradesh,Ginger,Whole Year,2004,4451,32877,99.9,109.44
Arunachal Pradesh,Ginger,Whole Year,2005,4814,33326,88.44,102.6
Arunachal Pradesh,Ginger,Whole Year,2006,5832,42821,89.17,109.44
Arunachal Pradesh,Ginger,Whole Year,2007,6305,47407,95.21,109.44
Arunachal Pradesh,Ginger,Whole Year,2008,6356,47190,97.11,109.44
Arunachal Pradesh,Ginger,Whole Year,2009,6401,49663,101.39,109.44
Arunachal Pradesh,Ginger,Whole Year,2010,6601,52304,106.2,109.44
Arunachal Pradesh,Ginger,Whole Year,2011,6880,54000,102.09,109.44
Arunachal Pradesh,Ginger,Whole Year,2012,6847,56004,110.91,109.44
Arunachal Pradesh,Ginger,Whole Year,2013,6861,55073,115.73,116.28
Arunachal Pradesh,Ginger,Whole Year,2014,8000,60000,114.4,116.28
Arunachal Pradesh,Ginger,Whole Year,2015,7650,56575,130.5,136.8
Arunachal Pradesh,Ginger,Whole Year,2016,7775,56758,128.64,136.8
Arunachal Pradesh,Ginger,Whole Year,2017,7860,55806,121.4,136.8
Arunachal Pradesh,Ginger,Whole Year,2018,7880,55948,135.93,150.48
Arunachal Pradesh,Ginger,Whole Year,2019,7900,55474,152.54,171
Arunachal Pradesh,Groundnut,Kharif,2016,888,868,16.48,18.48
Arunachal Pradesh,Groundnut,Kharif,2017,919,901,17.71,18.48
Arunachal Pradesh,Groundnut,Kharif,2018,921,903,17.71,18.48
Arunachal Pradesh,Groundnut,Kharif,2019,923,905,17.64,18.48
Arunachal Pradesh,Groundnut,Rabi,1997,905,802,11.37,17.16
Arunachal Pradesh,Groundnut,Rabi,1998,500,400,9.77,17.16
Arunachal Pradesh,Maize,Kharif,1997,34504,50025,21.93,34.84
Arunachal Pradesh,Maize,Kharif,1998,36244,47022,18.96,34.84
Arunachal Pradesh,Maize,Kharif,1999,35637,48328,19.72,34.84
Arunachal Pradesh,Maize,Kharif,2000,38429,52297,19.21,34.84
Arunachal Pradesh,Maize,Kharif,2001,38577,52511,18.92,34.84
Arunachal Pradesh,Maize,Kharif,2002,40548,55941,21.03,40.2
Arunachal Pradesh,Maize,Kharif,2003,38605,54510,21.7,40.2
Arunachal Pradesh,Maize,Kharif,2004,37800,54985,23.92,42.88
Arunachal Pradesh,Maize,Kharif,2005,41853,57898,22.6,42.88
Arunachal Pradesh,Maize,Kharif,2006,46281,63524,23.03,42.88
Arunachal Pradesh,Maize,Kharif,2007,42736,57430,23.4,42.88
Arunachal Pradesh,Maize,Kharif,2008,42897,58830,23.35,42.88
Arunachal Pradesh,Maize,Kharif,2009,43630,60144,23.66,42.88
Arunachal Pradesh,Maize,Kharif,2010,45061,64714,24.25,42.88
Arunachal Pradesh,Maize,Kharif,2011,46500,68500,24.87,42.88
Arunachal Pradesh,Maize,Kharif,2012,47486,68192,24.6,42.88
Arunachal Pradesh,Maize,Kharif,2013,47018,68978,27.33,45.56
Arunachal Pradesh,Maize,Kharif,2014,48000,75000,29.8,45.56
Arunachal Pradesh,Maize,Kharif,2015,48800,75226,33.74,53.6
Arunachal Pradesh,Maize,Kharif,2016,50300,75450,31.68,53.6
Arunachal Pradesh,Maize,Kharif,2017,50797,77216,32.56,53.6
Arunachal Pradesh,Maize,Kharif,2018,51000,78030,36.5,58.96
Arunachal Pradesh,Maize,Kharif,2019,51100,79205,41.89,67
Arunachal Pradesh,Masoor,Rabi,2016,413,202,5.1,7.5
Arunachal Pradesh,Masoor,Rabi,2017,438,252,5.81,7.5
Arunachal Pradesh,Masoor,Rabi,2018,453,352,10.43,9
Arunachal Pradesh,Masoor,Rabi,2019,454,356,12.01,9.75
Arunachal Pradesh,Moong(Green Gram),Kharif,2016,1287,1277,16.7,8.5
Arunachal Pradesh,Moong(Green Gram),Kharif,2017,1268,1299,19.82,8.5
Arunachal Pradesh,Moong(Green Gram),Kharif,2018,1313,1339,20.71,9.5
Arunachal Pradesh,Moong(Green Gram),Kharif,2019,1318,1354,23.56,10.5
Arunachal Pradesh,Oilseeds total,Whole Year,1997,26118,24290,12.36,19.37
Arunachal Pradesh,Oilseeds total,Whole Year,1998,26481,25300,12.42,19.37
Arunachal Pradesh,Oilseeds total,Whole Year,1999,27748,27228,12.26,19.37
Arunachal Pradesh,Oilseeds total,Whole Year,2000,26301,27252,13.05,19.37
Arunachal Pradesh,Oilseeds total,Whole Year,2001,27560,29307,13.28,19.37
Arunachal Pradesh,Oilseeds total,Whole Year,2002,28494,29821,15.1,22.35
Arunachal Pradesh,Oilseeds total,Whole Year,2003,28024,28478,14.87,22.35
Arunachal Pradesh,Oilseeds total,Whole Year,2004,27139,26281,15.67,22.35
Arunachal Pradesh,Oilseeds total,Whole Year,2005,27566,23695,14.33,22.35
Arunachal Pradesh,Oilseeds total,Whole Year,2006,32160,29265,15.35,23.84
Arunachal Pradesh,Oilseeds total,Whole Year,2007,30749,28568,14.92,23.84
Arunachal Pradesh,Oilseeds total,Whole Year,2008,31785,31016,15.92,23.84
Arunachal Pradesh,Oilseeds total,Whole Year,2009,121468,215842,26.87,23.84
Arunachal Pradesh,Oilseeds total,Whole Year,2010,31854,29251,17.37,23.84
Arunachal Pradesh,Oilseeds total,Whole Year,2011,32500,33000,18.97,23.84
Arunachal Pradesh,Oilseeds total,Whole Year,2012,32767,31285,17.94,23.84
Arunachal Pradesh,Oilseeds total,Whole Year,2013,33114,31635,18.96,25.33
Arunachal Pradesh,Oilseeds total,Whole Year,2014,35000,33950,18.41,25.33
Arunachal Pradesh,Oilseeds total,Whole Year,2015,35000,36400,22.7,29.8
Arunachal Pradesh,Other Kharif pulses,Kharif,2016,2450,2235,17.45,11.6
Arunachal Pradesh,Other Kharif pulses,Kharif,2017,2484,2279,17.74,11.6
Arunachal Pradesh,Other Kharif pulses,Kharif,2018,2496,2321,20.93,12.76
Arunachal Pradesh,Other Kharif pulses,Kharif,2019,2506,2346,24.53,14.5
Arunachal Pradesh,Other Rabi pulses,Rabi,2016,1243,765,10.37,11.25
Arunachal Pradesh,Other Rabi pulses,Rabi,2017,1268,815,11.47,11.25
Arunachal Pradesh,Other Rabi pulses,Rabi,2018,1268,815,11.95,12
Arunachal Pradesh,Other Rabi pulses,Rabi,2019,1273,824,13.51,14.25
Arunachal Pradesh,Peas & beans (Pulses),Kharif,2016,646,618,17.54,27.17
Arunachal Pradesh,Peas & beans (Pulses),Kharif,2017,662,640,18.1,27.17
Arunachal Pradesh,Peas & beans (Pulses),Kharif,2018,672,680,21.45,30.03
Arunachal Pradesh,Peas & beans (Pulses),Kharif,2019,674,688,24.3,32.89
Arunachal Pradesh,Peas & beans (Pulses),Rabi,2016,3645,5189,28.6,27.17
Arunachal Pradesh,Peas & beans (Pulses),Rabi,2017,3670,5239,29.22,27.17
Arunachal Pradesh,Peas & beans (Pulses),Rabi,2018,3690,5775,36.45,30.03
Arunachal Pradesh,Peas & beans (Pulses),Rabi,2019,3704,5432,42.56,34.32
Arunachal Pradesh,Potato,Whole Year,1998,4846,31567,87.68,171.34
Arunachal Pradesh,Potato,Whole Year,1999,4960,32434,76.39,158.16
Arunachal Pradesh,Potato,Whole Year,2000,5621,36743,88.17,171.34
Arunachal Pradesh,Potato,Whole Year,2001,4646,32635,88.51,171.34
Arunachal Pradesh,Potato,Whole Year,2002,4335,30183,103.41,197.7
Arunachal Pradesh,Potato,Whole Year,2003,4022,29569,108.49,197.7
Arunachal Pradesh,Potato,Whole Year,2004,4217,27518,101.92,197.7
Arunachal Pradesh,Potato,Whole Year,2005,3963,29838,108.08,197.7
Arunachal Pradesh,Potato,Whole Year,2006,3985,31689,122.39,210.88
Arunachal Pradesh,Potato,Whole Year,2007,3843,29173,110.56,210.88
Arunachal Pradesh,Potato,Whole Year,2008,4063,33405,113.23,210.88
Arunachal Pradesh,Potato,Whole Year,2009,4235,36449,119.24,210.88
Arunachal Pradesh,Potato,Whole Year,2010,4334,35832,116.53,210.88
Arunachal Pradesh,Potato,Whole Year,2011,4600,40000,122.48,210.88
Arunachal Pradesh,Potato,Whole Year,2012,4817,38872,116.16,210.88
Arunachal Pradesh,Potato,Whole Year,2013,4933,40664,129.51,224.06
Arunachal Pradesh,Potato,Whole Year,2014,5090,42000,133.83,224.06
Arunachal Pradesh,Potato,Whole Year,2015,5970,44775,138.13,263.6
Arunachal Pradesh,Potato,Whole Year,2016,5985,43092,131.92,263.6
Arunachal Pradesh,Potato,Whole Year,2017,6075,44044,134.31,263.6
Arunachal Pradesh,Potato,Whole Year,2018,6175,44118,148.19,289.96
Arunachal Pradesh,Potato,Whole Year,2019,6200,44950,170.06,329.5
Arunachal Pradesh,Rapeseed &Mustard,Rabi,1997,20500,19100,12.35,10.79
Arunachal Pradesh,Rapeseed &Mustard,Rabi,1998,20631,19630,12.73,10.79
Arunachal Pradesh,Rapeseed &Mustard,Rabi,2016,27986,28514,23.43,15.77
Arunachal Pradesh,Rapeseed &Mustard,Rabi,2017,28186,28714,23.21,15.77
Arunachal Pradesh,Rapeseed &Mustard,Rabi,2018,28206,28735,26.16,17.43
Arunachal Pradesh,Rapeseed &Mustard,Rabi,2019,28261,28791,29.31,19.92
Arunachal Pradesh,Rice,Kharif,1997,120020,129505,13.78,27.3
Arunachal Pradesh,Rice,Kharif,1998,115481,114116,12.55,27.3
Arunachal Pradesh,Rice,Kharif,1999,122740,134807,14.27,27.3
Arunachal Pradesh,Rice,Kharif,2000,118601,132690,13.86,27.3
Arunachal Pradesh,Rice,Kharif,2001,119455,134621,14.76,27.3
Arunachal Pradesh,Rice,Kharif,2002,124584,152500,17.74,31.5
Arunachal Pradesh,Rice,Kharif,2003,119205,154589,18.02,31.5
Arunachal Pradesh,Rice,Kharif,2004,121642,134950,17.29,33.6
Arunachal Pradesh,Rice,Kharif,2005,122267,146191,18.58,33.6
Arunachal Pradesh,Rice,Kharif,2006,123038,144635,18.43,33.6
Arunachal Pradesh,Rice,Kharif,2007,124029,158146,19.61,33.6
Arunachal Pradesh,Rice,Kharif,2008,126799,164538,18.93,33.6
Arunachal Pradesh,Rice,Kharif,2009,121468,143894.6,17.92,33.6
Arunachal Pradesh,Rice,Kharif,2010,121570,155993,19.51,33.6
Arunachal Pradesh,Rice,Kharif,2011,123500,159543,19.5,33.6
Arunachal Pradesh,Rice,Kharif,2012,126085,174662,20.93,33.6
Arunachal Pradesh,Rice,Kharif,2013,131989,184104,22.11,35.7
Arunachal Pradesh,Rice,Kharif,2014,127200,189992,24.6,35.7
Arunachal Pradesh,Rice,Kharif,2015,128800,204001,41.75,42
Arunachal Pradesh,Rice,Kharif,2016,131000,219999.94,32.12,42
Arunachal Pradesh,Rice,Kharif,2017,132000,233333.26,33.83,42
Arunachal Pradesh,Rice,Kharif,2018,133200,239998.6,38.23,46.2
Arunachal Pradesh,Rice,Kharif,2019,133500,244741,44.48,52.5
Arunachal Pradesh,Sesamum,Kharif,1997,1345,818,6.35,5.1
Arunachal Pradesh,Sesamum,Kharif,1998,1360,750,6.12,5.1
Arunachal Pradesh,Sesamum,Kharif,2016,2019,1795,13.57,8.16
Arunachal Pradesh,Sesamum,Kharif,2017,2050,1828,13.3,8.16
Arunachal Pradesh,Sesamum,Kharif,2018,2053,1831,15.74,9.18
Arunachal Pradesh,Sesamum,Kharif,2019,2058,1835,17.8,10.71
Arunachal Pradesh,Small millets,Kharif,1997,18467,18032,12.78,9.1
Arunachal Pradesh,Small millets,Kharif,1998,17976,15601,10.66,8.4
Arunachal Pradesh,Small millets,Kharif,1999,19800,17123,11.39,9.1
Arunachal Pradesh,Small millets,Kharif,2000,20149,17332,11.77,9.1
Arunachal Pradesh,Small millets,Kharif,2001,19740,17851,12.2,9.1
Arunachal Pradesh,Small millets,Kharif,2002,21110,18811,14.13,10.5
Arunachal Pradesh,Small millets,Kharif,2003,22279,21326,14.6,10.5
Arunachal Pradesh,Small millets,Kharif,2004,22400,21374,15.63,11.2
Arunachal Pradesh,Small millets,Kharif,2005,22802,22376,15.97,11.2
Arunachal Pradesh,Small millets,Kharif,2006,21708,21428,16.05,11.2
Arunachal Pradesh,Small millets,Kharif,2007,22308,19425,13.85,11.2
Arunachal Pradesh,Small millets,Kharif,2008,22262,18922,13.84,11.2
Arunachal Pradesh,Small millets,Kharif,2009,21373,18391,13.87,11.2
Arunachal Pradesh,Small millets,Kharif,2010,21661,20038,15.85,11.2
Arunachal Pradesh,Small millets,Kharif,2011,22000,22000,17.19,11.2
Arunachal Pradesh,Small millets,Kharif,2012,22675,23410,16.92,11.2
Arunachal Pradesh,Small millets,Kharif,2013,22744,23825,17.77,11.9
Arunachal Pradesh,Small millets,Kharif,2014,26000,27000,17.5,11.9
Arunachal Pradesh,Small millets,Kharif,2015,26500,27560,20.76,14
Arunachal Pradesh,Small millets,Kharif,2016,26500,27030,19.84,14
Arunachal Pradesh,Small millets,Kharif,2017,26765,27300,19.89,14
Arunachal Pradesh,Small millets,Kharif,2018,26775,27402,22.47,15.4
Arunachal Pradesh,Small millets,Kharif,2019,26790,27460,25.38,17.5
Arunachal Pradesh,Soyabean,Kharif,1997,2345,3075,19.41,13.91
Arunachal Pradesh,Soyabean,Kharif,1998,2720,3390,18.52,13.91
Arunachal Pradesh,Soyabean,Kharif,2016,3098,4398,39.62,20.33
Arunachal Pradesh,Soyabean,Kharif,2017,3129,4435,28.82,20.33
Arunachal Pradesh,Soyabean,Kharif,2018,3132,4438,31.41,22.47
Arunachal Pradesh,Soyabean,Kharif,2019,3137,4447,35.99,25.68
Arunachal Pradesh,Sugarcane,Rabi,1997,681,15806,187.21,503.73
Arunachal Pradesh,Sugarcane,Whole Year,1998,743,15032,159.22,503.73
Arunachal Pradesh,Sugarcane,Whole Year,1999,809,16219,131.79,447.76
Arunachal Pradesh,Sugarcane,Whole Year,2000,811,14358,135.08,447.76
Arunachal Pradesh,Sugarcane,Whole Year,2001,1036,18920,159.65,503.73
Arunachal Pradesh,Sugarcane,Whole Year,2002,798,15284,165.69,559.7
Arunachal Pradesh,Sugarcane,Whole Year,2003,738,15150,153.89,503.73
Arunachal Pradesh,Sugarcane,Whole Year,2004,736,14132,172.38,615.67
Arunachal Pradesh,Sugarcane,Whole Year,2005,878,16181,153.04,503.73
Arunachal Pradesh,Sugarcane,Whole Year,2006,1030,16843,163.61,559.7
Arunachal Pradesh,Sugarcane,Whole Year,2007,1233,21754,164.82,559.7
Arunachal Pradesh,Sugarcane,Whole Year,2008,1370,23439,168.6,615.67
Arunachal Pradesh,Sugarcane,Whole Year,2009,1476,27145,167.91,559.7
Arunachal Pradesh,Sugarcane,Whole Year,2010,1508,28974,185.68,503.73
Arunachal Pradesh,Sugarcane,Whole Year,2011,1550,30000,180.75,503.73
Arunachal Pradesh,Sugarcane,Whole Year,2012,1530,30151,181.74,503.73
Arunachal Pradesh,Sugarcane,Whole Year,2013,1561,30351,178.86,503.73
Arunachal Pradesh,Sugarcane,Whole Year,2014,1790,34900,181.72,503.73
Arunachal Pradesh,Sugarcane,Whole Year,2015,1950,40755,282.75,727.61
Arunachal Pradesh,Sugarcane,Whole Year,2016,2075,44405,293.72,727.61
Arunachal Pradesh,Sugarcane,Whole Year,2017,2110,45154,291.75,727.61
Arunachal Pradesh,Sugarcane,Whole Year,2018,2130,45792,353.67,839.55
Arunachal Pradesh,Sugarcane,Whole Year,2019,2146,46139,403.71,951.49
Arunachal Pradesh,Sunflower,Kharif,1997,448,220,6.38,12.61
Arunachal Pradesh,Sunflower,Kharif,1998,435,205,6.17,12.61
Arunachal Pradesh,Sunflower,Kharif,2016,540,433,8.18,9.7
Arunachal Pradesh,Sunflower,Kharif,2017,571,466,7.81,9.7
Arunachal Pradesh,Sunflower,Kharif,2018,573,468,9.37,10.67
Arunachal Pradesh,Sunflower,Kharif,2019,574,469,10.87,12.61
Arunachal Pradesh,Turmeric,Whole Year,1998,366,1199,25.02,27.51
Arunachal Pradesh,Turmeric,Whole Year,1999,404,1473,29.84,27.51
Arunachal Pradesh,Turmeric,Whole Year,2000,454,1872,33.93,27.51
Arunachal Pradesh,Turmeric,Whole Year,2001,573,2094,32.21,31.44
Arunachal Pradesh,Turmeric,Whole Year,2002,508,2020,49.05,39.3
Arunachal Pradesh,Turmeric,Whole Year,2003,447,1527,30.57,31.44
Arunachal Pradesh,Turmeric,Whole Year,2004,505,1794,34.16,35.37
Arunachal Pradesh,Turmeric,Whole Year,2005,427,1631,29.63,27.51
Arunachal Pradesh,Turmeric,Whole Year,2006,532,1965,35.4,31.44
Arunachal Pradesh,Turmeric,Whole Year,2007,549,2119,35.54,31.44
Arunachal Pradesh,Turmeric,Whole Year,2008,612,2375,43.4,43.23
Arunachal Pradesh,Turmeric,Whole Year,2009,626,2556,40.1,39.3
Arunachal Pradesh,Turmeric,Whole Year,2010,611,2719,36.67,31.44
Arunachal Pradesh,Turmeric,Whole Year,2011,625,2800,36.75,31.44
Arunachal Pradesh,Turmeric,Whole Year,2012,699,2893,32.21,31.44
Arunachal Pradesh,Turmeric,Whole Year,2013,654,3068,38.15,31.44
Arunachal Pradesh,Turmeric,Whole Year,2014,725,3500,54.64,31.44
Arunachal Pradesh,Turmeric,Whole Year,2015,800,3840,47.82,39.3
Arunachal Pradesh,Turmeric,Whole Year,2016,800,3600,43.86,39.3
Arunachal Pradesh,Turmeric,Whole Year,2017,810,3686,43.98,39.3
Arunachal Pradesh,Turmeric,Whole Year,2018,820,3731,48.17,43.23
Arunachal Pradesh,Turmeric,Whole Year,2019,835,3758,55.87,51.09
Arunachal Pradesh,Urad,Kharif,2016,1118,966,14.9,9.9
Arunachal Pradesh,Urad,Kharif,2017,1134,988,17.09,9.9
Arunachal Pradesh,Urad,Kharif,2018,1144,1028,19.74,11
Arunachal Pradesh,Urad,Kharif,2019,1148,1039,22.97,12.65
Arunachal Pradesh,Urad,Rabi,2016,1408,1235,15.36,9.9
Arunachal Pradesh,Urad,Rabi,2017,1433,1285,17.27,9.9
Arunachal Pradesh,Urad,Rabi,2018,1448,1385,21.26,11
Arunachal Pradesh,Urad,Rabi,2019,1454,1400,25.04,12.65
Arunachal Pradesh,Wheat,Rabi,1997,3785,5475,19.11,26.76
Arunachal Pradesh,Wheat,Rabi,1998,3660,4395,14,26.76
Arunachal Pradesh,Wheat,Rabi,1999,3896,5069,16.49,26.76
Arunachal Pradesh,Wheat,Rabi,2000,4397,6226,16.49,26.76
Arunachal Pradesh,Wheat,Rabi,2001,3805,5341,17.19,26.76
Arunachal Pradesh,Wheat,Rabi,2002,4114,6250,19.26,28.99
Arunachal Pradesh,Wheat,Rabi,2003,4150,6320,16.63,24.53
Arunachal Pradesh,Wheat,Rabi,2004,4278,6652,20.14,28.99
Arunachal Pradesh,Wheat,Rabi,2005,3976,6140,19.06,26.76
Arunachal Pradesh,Wheat,Rabi,2006,3979,6301,21.68,28.99
Arunachal Pradesh,Wheat,Rabi,2007,3558,5294,20.53,28.99
Arunachal Pradesh,Wheat,Rabi,2008,3278,5169,17.27,24.53
Arunachal Pradesh,Wheat,Rabi,2009,3170,4770,15.9,22.3
Arunachal Pradesh,Wheat,Rabi,2010,3699,5872,16.47,22.3
Arunachal Pradesh,Wheat,Rabi,2011,3700,6500,18.18,22.3
Arunachal Pradesh,Wheat,Rabi,2012,2937,4401,15.57,20.07
Arunachal Pradesh,Wheat,Rabi,2013,2960,4470,15.57,20.07
Arunachal Pradesh,Wheat,Rabi,2014,3800,7500,22.09,20.07
Arunachal Pradesh,Wheat,Rabi,2015,3910,7700,21.05,22.3
Arunachal Pradesh,Wheat,Rabi,2016,3910,7700,21.05,22.3
Arunachal Pradesh,Wheat,Rabi,2017,3930,7742,21.02,22.3
Arunachal Pradesh,Wheat,Rabi,2018,3930,7742,23.67,24.53
Arunachal Pradesh,Wheat,Rabi,2019,3930,7742,26.02,26.76
Arunachal Pradesh,other oilseeds,Kharif,2016,684,616,8.74,12.56
Arunachal Pradesh,other oilseeds,Kharif,2017,715,649,9.12,12.56
Arunachal Pradesh,other oilseeds,Kharif,2018,715,649,9.12,12.56
Arunachal Pradesh,other oilseeds,Kharif,2019,717,650,10.05,14.13
Assam,Arecanut,Rabi,2010,68947,68556,26.51,65.34
Assam,Arecanut,Rabi,2011,68699,60075,23.71,65.34
Assam,Arecanut,Rabi,2012,67327,88999,42.04,65.34
Assam,Arecanut,Rabi,2013,68038,56999,21.61,65.34
Assam,Arecanut,Rabi,2014,66739,73869,28.56,65.34
Assam,Arecanut,Rabi,2015,65102,55232,24.17,65.34
Assam,Arecanut,Rabi,2016,66800,49687,20.8,65.34
Assam,Arecanut,Rabi,2017,67062,52876,22.33,65.34
Assam,Arecanut,Rabi,2018,67210,47324,19.64,65.34
Assam,Arecanut,Rabi,2019,67223,52124,25.02,79.86
Assam,Arecanut,Whole Year,1997,73814,56708,18.31,55.66
Assam,Arecanut,Whole Year,1998,74457,55355,18.04,55.66
Assam,Arecanut,Whole Year,1999,73464,52924,17.16,55.66
Assam,Arecanut,Whole Year,2000,73237,68261,22.02,55.66
Assam,Arecanut,Whole Year,2001,73223,69663,22.67,55.66
Assam,Arecanut,Whole Year,2002,73664,51631,16.36,55.66
Assam,Arecanut,Whole Year,2003,74001,70414,22.52,55.66
Assam,Arecanut,Whole Year,2005,71176,66778,21.01,55.66
Assam,Arecanut,Whole Year,2006,69104,55044,22.06,65.34
Assam,Arecanut,Whole Year,2007,66235,56665,23.13,65.34
Assam,Arecanut,Whole Year,2008,66072,63895,26.71,65.34
Assam,Arecanut,Whole Year,2009,68947,68556,26.51,65.34
Assam,Arhar/Tur,Kharif,1997,6637,4685,16.34,20.24
Assam,Arhar/Tur,Kharif,1998,7657,5389,16.31,20.24
Assam,Arhar/Tur,Kharif,1999,7266,5102,16.28,20.24
Assam,Arhar/Tur,Kharif,2000,7280,5159,16.43,20.24
Assam,Arhar/Tur,Kharif,2001,7236,5125,16.3,20.24
Assam,Arhar/Tur,Kharif,2002,7013,4961,16.35,20.24
Assam,Arhar/Tur,Kharif,2003,7012,4940,16.3,20.24
Assam,Arhar/Tur,Kharif,2004,6733,4751,16.33,20.24
Assam,Arhar/Tur,Kharif,2005,6473,4529,19.02,23.76
Assam,Arhar/Tur,Kharif,2006,6676,4769,19.08,23.76
Assam,Arhar/Tur,Kharif,2007,5893,4230,19.25,23.76
Assam,Arhar/Tur,Kharif,2008,5368,3811,19.07,23.76
Assam,Arhar/Tur,Kharif,2009,6191,4408,19.09,23.76
Assam,Arhar/Tur,Kharif,2010,7137,5098,19.16,23.76
Assam,Arhar/Tur,Kharif,2011,5697,4467,20.9,23.76
Assam,Arhar/Tur,Kharif,2012,5958,4937,22.12,23.76
Assam,Arhar/Tur,Kharif,2013,6130,5642,24.89,23.76
Assam,Arhar/Tur,Kharif,2014,6047,5738,25.49,23.76
Assam,Arhar/Tur,Kharif,2015,6366,5600,23.44,23.76
Assam,Arhar/Tur,Kharif,2016,5721,4910,22.84,23.76
Assam,Arhar/Tur,Kharif,2017,5609,4672,22.17,23.76
Assam,Arhar/Tur,Kharif,2018,5550,4628,22.87,23.76
Assam,Arhar/Tur,Kharif,2019,5830,5040,23.38,23.76
Assam,Banana,Whole Year,1998,41885,581884,317.13,690
Assam,Banana,Whole Year,1999,41922,583383,316.17,690
Assam,Banana,Whole Year,2000,42534,590095,315.84,690
Assam,Banana,Whole Year,2001,43600,606192,316.85,690
Assam,Banana,Whole Year,2002,42631,589595,316.86,690
Assam,Banana,Whole Year,2003,42982,594645,317.05,690
Assam,Banana,Whole Year,2005,41967,577713,370.05,810
Assam,Banana,Whole Year,2006,43250,598857,370.12,810
Assam,Banana,Whole Year,2007,43999,606749,369.62,810
Assam,Banana,Whole Year,2008,45580,629050,375.05,810
Assam,Banana,Whole Year,2009,44980,621747,371.76,810
Assam,Banana,Whole Year,2010,47628,653502,371.64,810
Assam,Banana,Whole Year,2011,47563,729102,404.52,810
Assam,Banana,Whole Year,2012,47063,763234,431.75,810
Assam,Banana,Whole Year,2013,50806,857720,442.81,810
Assam,Banana,Whole Year,2014,51279,865669,442.81,810
Assam,Banana,Whole Year,2015,51103,882706,449.11,810
Assam,Banana,Whole Year,2016,49266,854853,453.36,810
Assam,Banana,Whole Year,2017,53082,913272,454.73,810
Assam,Banana,Whole Year,2018,51113,917792,477.37,810
Assam,Banana,Whole Year,2019,49445,906683,488.04,810
Assam,Black pepper,Whole Year,2007,2823,4212,41.27,28.08
Assam,Black pepper,Whole Year,2008,3393,5144,43.69,27.04
Assam,Black pepper,Whole Year,2009,2967,4398,42.6,28.08
Assam,Black pepper,Whole Year,2010,3041,4589,43.53,28.08
